country,f0-14,f0-4,f15-24,f25-34,f35-44,f45-54,f5-14,f55-64,m0-14,m0-4,m15-24,m25-34,m35-44,m45-54,m5-14,m55-64
BT,50.0,,,,,,,,56.0,,,,,,,
BW,420.0,210.0,350.0,520.0,490.0,310.0,210.0,280.0,470.0,260.0,650.0,980.0,940.0,510.0,200.0,400.0
BY,190.0,99.0,68.0,170.0,160.0,120.0,94.0,100.0,210.0,120.0,91.0,340.0,550.0,580.0,91.0,470.0
BZ,8.0,,,,,,,,8.0,,,,,,,
CA,69.0,37.0,110.0,210.0,130.0,93.0,32.0,81.0,83.0,46.0,140.0,170.0,140.0,130.0,37.0,140.0
CD,16000.0,8500.0,17000.0,19000.0,17000.0,12000.0,7100.0,9600.0,17000.0,10000.0,30000.0,34000.0,29000.0,21000.0,6900.0,16000.0
CF,1300.0,680.0,1300.0,1500.0,1200.0,770.0,600.0,730.0,1400.0,830.0,2300.0,2600.0,2200.0,1400.0,590.0,1200.0
CG,1300.0,710.0,1100.0,1300.0,1500.0,970.0,600.0,690.0,1500.0,870.0,1900.0,2300.0,2600.0,1700.0,580.0,1200.0
CH,29.0,,,,,,,,31.0,,,,,,,
CI,2100.0,1100.0,2200.0,2800.0,2700.0,1600.0,960.0,1300.0,2300.0,1400.0,3700.0,4500.0,4500.0,2900.0,930.0,2500.0
CK,0.0,,,,,,,,0.0,,,,,,,
CL,150.0,75.0,130.0,190.0,130.0,150.0,77.0,150.0,170.0,92.0,170.0,340.0,290.0,330.0,75.0,340.0
CM,2900.0,1600.0,2800.0,3700.0,3200.0,1900.0,1400.0,1600.0,3200.0,1900.0,4900.0,6600.0,5700.0,3400.0,1300.0,2700.0
CN,47000.0,24000.0,38000.0,42000.0,30000.0,40000.0,23000.0,37000.0,52000.0,30000.0,73000.0,73000.0,63000.0,108000.0,22000.0,101000.0
CO,920.0,450.0,820.0,1000.0,760.0,660.0,480.0,720.0,920.0,490.0,1400.0,2000.0,1300.0,1300.0,430.0,1400.0
CR,27.0,,,,,,,,29.0,,,,,,,
CU,47.0,,,,,,,,50.0,,,,,,,
CV,43.0,,,,,,,,47.0,,,,,,,
CW,1.0,,,,,,,,1.0,,,,,,,
CY,3.0,,,,,,,,3.0,,,,,,,
CZ,27.0,,,,,,,,29.0,,,,,,,
DE,230.0,120.0,380.0,420.0,210.0,190.0,100.0,160.0,250.0,140.0,1200.0,840.0,460.0,420.0,110.0,360.0
DJ,140.0,,,,,,,,150.0,,,,,,,
DK,14.0,,,,,,,,15.0,,,,,,,
DM,0.0,,,,,,,,0.0,,,,,,,
DO,270.0,120.0,290.0,330.0,290.0,240.0,150.0,180.0,290.0,130.0,380.0,750.0,630.0,480.0,160.0,290.0
DZ,1900.0,1000.0,2800.0,2300.0,1500.0,910.0,870.0,780.0,2100.0,1200.0,3800.0,3900.0,2800.0,1800.0,850.0,1300.0
EC,400.0,200.0,380.0,380.0,310.0,260.0,200.0,210.0,440.0,250.0,1000.0,1200.0,740.0,610.0,190.0,430.0
EE,9.0,,,,,,,,10.0,,,,,,,
EG,630.0,330.0,950.0,1200.0,650.0,660.0,300.0,740.0,690.0,400.0,1100.0,1700.0,1400.0,1100.0,300.0,950.0
ER,210.0,91.0,260.0,270.0,270.0,230.0,120.0,130.0,250.0,110.0,260.0,320.0,270.0,280.0,130.0,210.0
ES,210.0,110.0,160.0,300.0,330.0,240.0,110.0,150.0,200.0,100.0,210.0,380.0,510.0,550.0,96.0,370.0
ET,9500.0,4900.0,22000.0,16000.0,11000.0,9000.0,4600.0,6100.0,10000.0,6000.0,27000.0,19000.0,14000.0,11000.0,4500.0,7100.0
FI,13.0,,,,,,,,14.0,,,,,,,
FJ,23.0,,,,,,,,24.0,,,,,,,
FM,9.0,,,,,,,,9.0,,,,,,,
FR,210.0,96.0,220.0,350.0,250.0,180.0,110.0,170.0,270.0,130.0,440.0,680.0,560.0,440.0,140.0,370.0
GA,700.0,380.0,550.0,760.0,790.0,520.0,320.0,330.0,780.0,460.0,910.0,1300.0,1500.0,950.0,320.0,540.0
GB,320.0,130.0,310.0,530.0,440.0,310.0,190.0,230.0,260.0,110.0,390.0,720.0,670.0,500.0,150.0,360.0
GD,0.0,,,,,,,,0.0,,,,,,,
GE,180.0,96.0,170.0,270.0,180.0,130.0,85.0,120.0,200.0,120.0,220.0,370.0,400.0,380.0,83.0,340.0
GH,1000.0,540.0,2700.0,3500.0,3700.0,2900.0,490.0,2200.0,1100.0,660.0,4400.0,5200.0,5100.0,4100.0,480.0,3000.0
GL,3.0,,,,,,,,3.0,,,,,,,
GM,210.0,120.0,180.0,170.0,210.0,130.0,95.0,76.0,230.0,140.0,540.0,500.0,590.0,350.0,93.0,230.0
GN,1200.0,640.0,1700.0,2000.0,1600.0,1100.0,550.0,850.0,1300.0,780.0,2300.0,3100.0,2500.0,1800.0,540.0,1300.0
GQ,130.0,73.0,170.0,260.0,180.0,110.0,60.0,83.0,150.0,89.0,190.0,350.0,320.0,190.0,59.0,120.0
GR,21.0,,,,,,,,23.0,,,,,,,
GT,520.0,250.0,270.0,290.0,240.0,230.0,270.0,190.0,490.0,230.0,370.0,450.0,360.0,280.0,260.0,230.0
GU,5.0,,,,,,,,5.0,,,,,,,
GW,440.0,240.0,430.0,540.0,500.0,290.0,200.0,230.0,490.0,290.0,780.0,940.0,870.0,520.0,200.0,380.0
GY,39.0,,,,,,,,41.0,,,,,,,
HK,260.0,130.0,120.0,260.0,270.0,230.0,130.0,230.0,280.0,160.0,150.0,160.0,170.0,330.0,120.0,570.0
HN,210.0,70.0,210.0,220.0,190.0,160.0,140.0,150.0,230.0,83.0,410.0,410.0,280.0,260.0,150.0,230.0
HR,20.0,,,,,,,,22.0,,,,,,,
HT,1000.0,520.0,1900.0,2100.0,1200.0,940.0,500.0,800.0,1100.0,630.0,2200.0,2800.0,1800.0,1400.0,490.0,960.0
HU,34.0,,,,,,,,37.0,,,,,,,
ID,23000.0,9600.0,67000.0,66000.0,60000.0,59000.0,13000.0,46000.0,26000.0,11000.0,64000.0,86000.0,86000.0,91000.0,15000.0,82000.0
IE,16.0,,,,,,,,18.0,,,,,,,
IL,13.0,,,,,,,,14.0,,,,,,,
IN,107000.0,53000.0,214000.0,187000.0,145000.0,121000.0,54000.0,98000.0,117000.0,65000.0,257000.0,310000.0,320000.0,299000.0,53000.0,253000.0
IQ,860.0,450.0,1600.0,1300.0,1200.0,1100.0,410.0,1000.0,950.0,550.0,1100.0,1400.0,1200.0,1100.0,410.0,920.0
IR,640.0,200.0,500.0,660.0,510.0,540.0,440.0,730.0,660.0,270.0,500.0,1000.0,980.0,690.0,390.0,760.0
IS,1.0,,,,,,,,1.0,,,,,,,
IT,140.0,67.0,170.0,300.0,230.0,170.0,78.0,110.0,190.0,100.0,630.0,580.0,400.0,320.0,85.0,230.0
JM,8.0,,,,,,,,9.0,,,,,,,
JO,35.0,,,,,,,,39.0,,,,,,,
JP,790.0,360.0,330.0,560.0,470.0,420.0,430.0,450.0,1000.0,580.0,460.0,620.0,590.0,880.0,430.0,1000.0
KE,9900.0,5300.0,9500.0,13000.0,8900.0,5500.0,4600.0,3600.0,11000.0,6500.0,22000.0,29000.0,20000.0,12000.0,4500.0,7100.0
KG,440.0,240.0,860.0,790.0,450.0,380.0,200.0,380.0,490.0,300.0,1000.0,840.0,760.0,720.0,190.0,620.0
KH,3100.0,1600.0,1500.0,2700.0,2800.0,3200.0,1500.0,4000.0,3400.0,2000.0,1800.0,4500.0,5000.0,5000.0,1500.0,5000.0
KI,24.0,,,,,,,,26.0,,,,,,,
KM,16.0,,,,,,,,18.0,,,,,,,
KN,0.0,,,,,,,,0.0,,,,,,,
KP,6200.0,1100.0,5200.0,8900.0,11000.0,10000.0,5100.0,5200.0,8400.0,1500.0,8100.0,14000.0,19000.0,18000.0,6900.0,10000.0
KR,1200.0,560.0,850.0,1400.0,1400.0,1600.0,600.0,1800.0,1300.0,680.0,1000.0,1600.0,2100.0,3300.0,590.0,4300.0
KW,61.0,,,,,,,,67.0,,,,,,,
KY,0.0,,,,,,,,0.0,,,,,,,
KZ,570.0,310.0,790.0,1100.0,730.0,550.0,260.0,410.0,630.0,370.0,900.0,1400.0,1500.0,1300.0,260.0,900.0
LA,740.0,390.0,240.0,490.0,550.0,520.0,350.0,520.0,820.0,470.0,610.0,1200.0,1300.0,1200.0,340.0,1200.0
LB,38.0,,,,,,,,42.0,,,,,,,
LC,1.0,,,,,,,,1.0,,,,,,,
LK,680.0,350.0,620.0,650.0,600.0,660.0,330.0,780.0,750.0,420.0,700.0,1200.0,1400.0,1500.0,320.0,1500.0
LR,910.0,480.0,910.0,1000.0,1000.0,720.0,420.0,520.0,1000.0,590.0,1600.0,1800.0,1900.0,1200.0,410.0,830.0
LS,1000.0,530.0,780.0,1100.0,900.0,620.0,500.0,620.0,1100.0,650.0,1600.0,2200.0,1800.0,890.0,490.0,720.0
LT,75.0,39.0,53.0,59.0,72.0,64.0,37.0,46.0,83.0,47.0,38.0,110.0,210.0,240.0,36.0,200.0
LU,2.0,,,,,,,,2.0,,,,,,,
LV,29.0,,,,,,,,32.0,,,,,,,
LY,120.0,62.0,180.0,190.0,170.0,150.0,60.0,120.0,130.0,76.0,210.0,320.0,300.0,220.0,59.0,120.0
MA,2000.0,1000.0,3500.0,3000.0,1900.0,1500.0,940.0,1300.0,2200.0,1300.0,4800.0,5300.0,3200.0,2300.0,920.0,1900.0
MC,0.0,,,,,,,,0.0,,,,,,,
MD,180.0,94.0,110.0,250.0,210.0,140.0,86.0,120.0,200.0,110.0,150.0,510.0,650.0,640.0,84.0,450.0
ME,4.0,,,,,,,,4.0,,,,,,,
MG,3700.0,2000.0,4000.0,4100.0,4200.0,3000.0,1700.0,2400.0,4100.0,2400.0,7000.0,7200.0,7400.0,5200.0,1700.0,4000.0
MH,13.0,,,,,,,,14.0,,,,,,,
MK,13.0,,,,,,,,14.0,,,,,,,
ML,520.0,290.0,650.0,800.0,710.0,450.0,230.0,340.0,580.0,360.0,1200.0,1500.0,1300.0,750.0,220.0,530.0
MM,11000.0,5500.0,7900.0,10000.0,10000.0,10000.0,5700.0,9200.0,12000.0,6700.0,9400.0,21000.0,25000.0,23000.0,5500.0,17000.0
MN,410.0,130.0,1500.0,1700.0,830.0,590.0,280.0,390.0,350.0,120.0,1800.0,1800.0,1300.0,1100.0,230.0,710.0
MO,22.0,,,,,,,,24.0,,,,,,,
MP,2.0,,,,,,,,3.0,,,,,,,
MR,230.0,120.0,270.0,310.0,280.0,210.0,110.0,190.0,250.0,150.0,410.0,540.0,480.0,360.0,100.0,330.0
MS,0.0,,,,,,,,0.0,,,,,,,
MT,2.0,,,,,,,,2.0,,,,,,,
MU,9.0,,,,,,,,10.0,,,,,,,
MV,8.0,,,,,,,,9.0,,,,,,,
MW,880.0,480.0,1100.0,2400.0,2400.0,1100.0,400.0,1100.0,980.0,590.0,1600.0,3600.0,3600.0,1500.0,400.0,1100.0
MX,1600.0,520.0,1500.0,1600.0,1400.0,1700.0,1000.0,1500.0,1500.0,650.0,2200.0,3000.0,3100.0,3200.0,840.0,2400.0
MY,2000.0,710.0,1900.0,2000.0,1400.0,1300.0,1300.0,1300.0,1800.0,820.0,2000.0,2900.0,2900.0,3200.0,990.0,2800.0
MZ,11000.0,5700.0,9700.0,11000.0,11000.0,7200.0,5000.0,6200.0,12000.0,7000.0,19000.0,21000.0,20000.0,11000.0,4900.0,9900.0
NC,2.0,,,,,,,,2.0,,,,,,,
NE,1100.0,590.0,1400.0,1400.0,1300.0,910.0,460.0,630.0,1200.0,730.0,2400.0,2200.0,2300.0,1600.0,450.0,1400.0
NG,27000.0,15000.0,23000.0,29000.0,28000.0,19000.0,12000.0,14000.0,30000.0,18000.0,45000.0,58000.0,55000.0,37000.0,12000.0,25000.0
NI,140.0,71.0,200.0,230.0,150.0,160.0,72.0,130.0,160.0,87.0,290.0,350.0,290.0,230.0,70.0,180.0
NL,42.0,,,,,,,,46.0,,,,,,,
NO,13.0,,,,,,,,14.0,,,,,,,
NP,2300.0,1000.0,3200.0,3000.0,1900.0,1900.0,1200.0,1900.0,2500.0,1300.0,4300.0,4000.0,5000.0,4500.0,1200.0,3600.0
NR,1.0,,,,,,,,1.0,,,,,,,
NU,0.0,,,,,,,,0.0,,,,,,,
NZ,18.0,,,,,,,,19.0,,,,,,,
OM,17.0,,,,,,,,18.0,,,,,,,
PA,110.0,69.0,140.0,130.0,100.0,97.0,41.0,88.0,140.0,77.0,270.0,330.0,270.0,210.0,61.0,140.0
PE,2200.0,1100.0,3100.0,3000.0,2000.0,1700.0,1100.0,1100.0,2500.0,1400.0,5600.0,5000.0,3100.0,2200.0,1100.0,1800.0
PF,3.0,,,,,,,,3.0,,,,,,,
PG,1800.0,940.0,1500.0,1900.0,1900.0,1700.0,890.0,1700.0,2000.0,1200.0,3100.0,3900.0,3900.0,3500.0,870.0,3200.0
PH,34000.0,17000.0,26000.0,25000.0,24000.0,27000.0,17000.0,19000.0,37000.0,21000.0,74000.0,69000.0,66000.0,73000.0,17000.0,49000.0
PK,27000.0,14000.0,45000.0,36000.0,34000.0,30000.0,13000.0,24000.0,30000.0,17000.0,45000.0,41000.0,46000.0,41000.0,13000.0,32000.0
PL,290.0,150.0,100.0,180.0,250.0,230.0,140.0,320.0,320.0,180.0,120.0,350.0,680.0,910.0,140.0,1100.0
PR,3.0,,,,,,,,3.0,,,,,,,
PS,3.0,,,,,,,,3.0,,,,,,,
PT,100.0,60.0,90.0,100.0,100.0,94.0,41.0,80.0,97.0,55.0,89.0,140.0,200.0,230.0,41.0,220.0
PW,1.0,,,,,,,,1.0,,,,,,,
PY,200.0,91.0,180.0,170.0,120.0,86.0,100.0,72.0,170.0,82.0,370.0,510.0,320.0,240.0,84.0,220.0
QA,37.0,,,,,,,,41.0,,,,,,,
RO,790.0,280.0,680.0,750.0,640.0,500.0,510.0,420.0,830.0,320.0,810.0,1100.0,1700.0,2100.0,500.0,1700.0
RS,72.0,33.0,100.0,98.0,74.0,76.0,39.0,92.0,78.0,41.0,94.0,92.0,97.0,150.0,38.0,180.0
RU,1400.0,520.0,2300.0,7400.0,6500.0,3200.0,840.0,2700.0,1200.0,540.0,3200.0,15000.0,19000.0,11000.0,660.0,7900.0
RW,420.0,230.0,380.0,580.0,370.0,230.0,200.0,190.0,470.0,280.0,680.0,1100.0,970.0,570.0,190.0,520.0
SA,160.0,82.0,200.0,280.0,120.0,83.0,79.0,89.0,180.0,100.0,350.0,650.0,420.0,300.0,77.0,220.0
SB,24.0,,,,,,,,25.0,,,,,,,
SC,1.0,,,,,,,,1.0,,,,,,,
SD,2100.0,1100.0,1100.0,2500.0,2200.0,1800.0,990.0,1300.0,2300.0,1300.0,1700.0,3900.0,3200.0,2700.0,970.0,1800.0
SE,26.0,,,,,,,,29.0,,,,,,,
SG,120.0,60.0,97.0,280.0,180.0,110.0,63.0,98.0,140.0,73.0,75.0,190.0,180.0,280.0,62.0,340.0
SI,6.0,,,,,,,,6.0,,,,,,,
SK,12.0,,,,,,,,13.0,,,,,,,
SL,1200.0,630.0,3000.0,1600.0,1400.0,930.0,560.0,670.0,1300.0,770.0,3900.0,2500.0,2300.0,1600.0,550.0,1000.0
SM,0.0,,,,,,,,0.0,,,,,,,
SN,1100.0,610.0,1200.0,1400.0,1400.0,950.0,520.0,700.0,1300.0,750.0,2200.0,2600.0,2300.0,1500.0,510.0,1100.0
SO,2500.0,1400.0,2500.0,2500.0,2900.0,2200.0,1100.0,1600.0,2700.0,1700.0,3800.0,3600.0,4200.0,3200.0,1100.0,2400.0
SR,9.0,,,,,,,,10.0,,,,,,,
SS,1000.0,540.0,1100.0,1300.0,1300.0,910.0,470.0,630.0,1100.0,660.0,2000.0,2400.0,2200.0,1600.0,450.0,1000.0
ST,14.0,,,,,,,,16.0,,,,,,,
SV,260.0,130.0,120.0,110.0,130.0,140.0,130.0,120.0,280.0,150.0,960.0,1300.0,480.0,220.0,130.0,140.0
SX,0.0,,,,,,,,0.0,,,,,,,
SY,180.0,89.0,370.0,260.0,210.0,150.0,91.0,150.0,200.0,110.0,320.0,490.0,350.0,260.0,88.0,200.0
SZ,370.0,170.0,260.0,580.0,330.0,150.0,200.0,77.0,420.0,250.0,180.0,620.0,550.0,290.0,160.0,200.0
TC,0.0,,,,,,,,0.0,,,,,,,
TD,1400.0,750.0,1700.0,1800.0,1300.0,960.0,620.0,820.0,1500.0,920.0,3100.0,3300.0,2400.0,1700.0,600.0,1300.0
TG,180.0,97.0,200.0,240.0,200.0,140.0,83.0,88.0,200.0,120.0,260.0,430.0,430.0,330.0,81.0,250.0
TH,4100.0,1900.0,3600.0,4700.0,5100.0,5600.0,2200.0,5300.0,4400.0,2300.0,6400.0,9300.0,12000.0,14000.0,2100.0,12000.0
TJ,400.0,200.0,810.0,760.0,430.0,350.0,190.0,390.0,440.0,250.0,1100.0,970.0,530.0,420.0,190.0,380.0
TK,0.0,,,,,,,,0.0,,,,,,,
TL,380.0,200.0,500.0,450.0,290.0,300.0,180.0,310.0,420.0,240.0,650.0,670.0,540.0,610.0,180.0,470.0
TM,130.0,67.0,190.0,280.0,140.0,120.0,67.0,100.0,150.0,82.0,220.0,320.0,290.0,240.0,65.0,170.0
TN,170.0,89.0,290.0,410.0,300.0,330.0,83.0,240.0,190.0,110.0,230.0,400.0,330.0,290.0,81.0,260.0
TO,1.0,,,,,,,,1.0,,,,,,,
TR,690.0,210.0,890.0,980.0,740.0,730.0,480.0,730.0,760.0,290.0,1100.0,1000.0,1100.0,1100.0,470.0,1200.0
TT,13.0,,,,,,,,14.0,,,,,,,
TV,1.0,,,,,,,,1.0,,,,,,,
TZ,4100.0,2200.0,3800.0,12000.0,12000.0,6000.0,1900.0,5600.0,4600.0,2700.0,8900.0,27000.0,26000.0,14000.0,1800.0,12000.0
UA,1600.0,830.0,1100.0,2700.0,2500.0,1600.0,730.0,1200.0,1700.0,1000.0,1500.0,5100.0,6600.0,5000.0,710.0,3400.0
UG,4200.0,2300.0,4200.0,5600.0,4300.0,2700.0,1900.0,1900.0,4700.0,2800.0,12000.0,16000.0,13000.0,7700.0,1900.0,4600.0
US,420.0,230.0,390.0,700.0,530.0,470.0,190.0,540.0,440.0,230.0,530.0,920.0,770.0,850.0,210.0,1000.0
UY,62.0,,,,,,,,65.0,,,,,,,
UZ,1200.0,620.0,1200.0,2000.0,1400.0,1500.0,590.0,1400.0,1300.0,760.0,1400.0,2400.0,2200.0,2100.0,580.0,1800.0
VC,0.0,,,,,,,,0.0,,,,,,,
VE,840.0,380.0,770.0,950.0,650.0,480.0,460.0,400.0,930.0,400.0,1800.0,2200.0,1200.0,970.0,530.0,850.0
VG,0.0,,,,,,,,0.0,,,,,,,
VN,6600.0,2000.0,4000.0,6500.0,4300.0,4200.0,4600.0,4500.0,8500.0,3200.0,6200.0,13000.0,14000.0,18000.0,5300.0,15000.0
VU,7.0,,,,,,,,8.0,,,,,,,
WF,0.0,,,,,,,,0.0,,,,,,,
WS,2.0,,,,,,,,2.0,,,,,,,
YE,710.0,360.0,1500.0,1500.0,1100.0,890.0,340.0,640.0,780.0,440.0,1300.0,1400.0,1000.0,930.0,330.0,640.0
ZA,18000.0,9100.0,18000.0,31000.0,25000.0,17000.0,8800.0,13000.0,20000.0,11000.0,20000.0,41000.0,42000.0,30000.0,8600.0,20000.0
ZM,3600.0,2000.0,3500.0,5400.0,5000.0,2700.0,1600.0,1700.0,4000.0,2400.0,6300.0,9500.0,8700.0,4500.0,1600.0,2500.0
ZW,2600.0,1400.0,1900.0,3300.0,3300.0,1600.0,1200.0,1200.0,2900.0,1700.0,2200.0,5000.0,5400.0,2700.0,1200.0,1600.0
,880.0,420.0,700.0,1100.0,800.0,460.0,460.0,270.0,920.0,510.0,640.0,1600.0,1500.0,840.0,410.0,440.0
